Model,Model Index,Displacement,Cylinders,Gears,Transmission,MPG,Aspiration,Lockup Torque Converter,Drive,Max Ethanol,Recommended Fuel,Intake Valves Per Cyl,Intake Valves Per Cyl2,Exhaust Valves Per Cyl,Fuel injection
AMG GT C (coupe),192,4,8,7,Auto(AM7),17,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG GT C (roadster),235,4,8,7,Auto(AM7),17,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG GT R (coupe),194,4,8,7,Auto(AM7),17,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG GT R (roadster),195,4,8,7,Auto(AM7),17,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG SLC 43,239,3,6,9,Auto(A9),23,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
SL 450,223,3,6,9,Auto(A9),22,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
SL 550,222,4.7,8,9,Auto(A9),20,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
SLC 300,232,2,4,9,Auto(A9),27,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
370Z,56,3.7,6,7,Auto(S7),22,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Multipoint/sequential fuel injection
370Z,57,3.7,6,6,Manual(M6),20,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Multipoint/sequential fuel injection
370Z Roadster,58,3.7,6,7,Auto(S7),21,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Multipoint/sequential fuel injection
718 Cayman GT4,235,4,6,6,Manual(M6),19,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
718 Spyder,225,4,6,6,Manual(M6),19,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Supra 3.0,21,3,6,8,Auto(S8),26,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
DB11 V12,2,5.2,12,8,Auto(S8),18,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
DB11 V8,3,4,8,8,Auto(S8),20,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
DBS,1,5.2,12,8,Auto(S8),17,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Continental GT Convertible,10,4,8,8,Auto(AM-S8),19,Turbocharged,N,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Continental GT Convertible,65,6,12,8,Auto(AM-S8),15,Turbocharged,N,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
GTC4Lusso,152,6.3,12,7,Auto(AM7),13,Naturally Aspirated,N,Part-time 4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
GTC4Lusso T,162,3.9,8,7,Auto(AM7),17,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Portofino,164,3.9,8,7,Auto(AM7),18,Turbocharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Evora,8,3.5,6,6,Auto(S6),20,Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Evora,7,3.5,6,6,Manual(M6),19,Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Evora GT,10,3.5,6,6,Auto(S6),20,Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
