Model,Model Index,Displacement,Cylinders,Gears,Transmission,MPG,Aspiration,Lockup Torque Converter,Drive,Max Ethanol,Recommended Fuel,Intake Valves Per Cyl,Intake Valves Per Cyl2,Exhaust Valves Per Cyl,Fuel injection
COROLLA HATCHBACK MANUAL,70,2,4,6,Manual(M6),31,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
COROLLA HATCHBACK XSE,72,2,4,10,Auto(AV-S10),33,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
COROLLA HYBRID,7,1.8,4,1,Auto(AV),52,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
COROLLA XLE,15,1.8,4,1,Auto(AV),32,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
COROLLA XSE,12,2,4,10,Auto(AV-S10),34,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
YARIS,203,1.5,4,6,Auto(S6),35,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
YARIS,202,1.5,4,6,Manual(M6),34,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Golf,69,1.4,4,8,Auto(S8),32,Turbocharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Golf,70,1.4,4,6,Manual(M6),31,Turbocharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
GTI,42,2,4,7,Auto(AM-S7),27,Turbocharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
GTI,24,2,4,6,Manual(M6),27,Turbocharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Jetta,67,1.4,4,8,Auto(S8),34,Turbocharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Jetta,68,1.4,4,6,Manual(M6),34,Turbocharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Jetta,26,2,4,7,Auto(AM-S7),28,Turbocharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Jetta,25,2,4,6,Manual(M6),28,Turbocharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
S60 AWD,128,2,4,8,Auto(S8),25,Turbocharged+Supercharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
S60 FWD,127,2,4,8,Auto(S8),27,Turbocharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
RLX,12,3.5,6,7,Auto(AM-S7),28,Naturally Aspirated,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
RLX,11,3.5,6,10,Auto(S10),23,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Giulia,407,2,4,8,Auto(A8),27,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Giulia,410,2.9,6,8,Auto(A8),20,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Giulia AWD,408,2,4,8,Auto(A8),26,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
A5 Sportback quattro,54,2,4,7,Auto(AM-S7),27,Turbocharged,N,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
A6 quattro,19,2,4,7,Auto(AM-S7),27,Turbocharged,N,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
A6 quattro,43,3,6,7,Auto(AM-S7),24,Turbocharged,N,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
A7 quattro,44,3,6,7,Auto(AM-S7),24,Turbocharged,N,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
S5 Sportback,36,3,6,8,Auto(S8),23,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
S6,38,2.9,6,8,Auto(S8),22,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
S7,39,2.9,6,8,Auto(S8),22,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Flying Spur,66,6,12,8,Auto(AM-S8),15,Turbocharged,N,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
Mulsanne,75,6.8,8,8,Auto(S8),12,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,1,1,1,Multipoint/sequential fuel injection
530i,530,2,4,8,Auto(S8),28,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
530i xDrive,532,2,4,8,Auto(S8),27,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
540i,540,3,6,8,Auto(S8),25,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
540i xDrive,541,3,6,8,Auto(S8),25,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
840i Gran Coupe,808,3,6,8,Auto(S8),24,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
840i xDrive Gran Coupe,810,3,6,8,Auto(S8),23,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M5,560,4.4,8,8,Auto(S8),17,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M5 Competition,561,4.4,8,8,Auto(S8),17,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M550i xDrive,550,4.4,8,8,Auto(S8),20,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M8 Competition Gran Coupe,865,4.4,8,8,Auto(S8),17,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M8 Gran Coupe,864,4.4,8,8,Auto(S8),17,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
M850i xDrive Gran Coupe,854,4.4,8,8,Auto(S8),20,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
X2 M35i,254,2,4,8,Auto(S8),26,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
X2 sDrive28i,252,2,4,8,Auto(S8),27,Turbocharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
X2 xDrive28i,250,2,4,8,Auto(S8),27,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
REGAL,19,2,4,9,Auto(S9),26,Turbocharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
REGAL AWD,26,2,4,8,Auto(S8),24,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
REGAL AWD,39,3.6,6,9,Auto(S9),22,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CT5,112,2,4,10,Auto(S10),26,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
CT5,137,3,6,10,Auto(S10),21,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
CT5 AWD,114,2,4,10,Auto(S10),25,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
CT5 AWD,135,3,6,10,Auto(S10),21,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
CT5 V,138,3,6,10,Auto(S10),21,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
CT5 V AWD,136,3,6,10,Auto(S10),20,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
MALIBU,4,1.5,4,1,Auto(AV),32,Turbocharged,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MALIBU,24,2,4,9,Auto(A9),26,Turbocharged,Y,"2-Wheel Drive, Front",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Challenger,18,3.6,6,8,Auto(A8),23,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Challenger,19,5.7,8,8,Auto(A8),19,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Mid Grade Unleaded Recommended,1,1,1,Multipoint/sequential fuel injection
Challenger,20,5.7,8,6,Manual(M6),18,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,1,Multipoint/sequential fuel injection
Challenger,21,6.4,8,8,Auto(A8),18,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,1,Multipoint/sequential fuel injection
Challenger,22,6.4,8,6,Manual(M6),17,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,1,Multipoint/sequential fuel injection
Challenger AWD,48,3.6,6,8,Auto(A8),21,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Challenger SRT,7,6.2,8,8,Auto(A8),16,Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,1,Multipoint/sequential fuel injection
Challenger SRT,8,6.2,8,6,Manual(M6),16,Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,1,Multipoint/sequential fuel injection
Challenger SRT Widebody,9,6.2,8,8,Auto(A8),15,Supercharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,1,Multipoint/sequential fuel injection
Challenger SRT Widebody,10,6.2,8,6,Manual(M6),16,Supercharged,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,1,Multipoint/sequential fuel injection
Challenger Widebody,23,6.4,8,8,Auto(A8),18,Naturally Aspirated,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,1,Multipoint/sequential fuel injection
Challenger Widebody,24,6.4,8,6,Manual(M6),17,Naturally Aspirated,N,"2-Wheel Drive, Rear",10,Premium Unleaded Required,1,1,1,Multipoint/sequential fuel injection
FUSION AWD,87,2,4,6,Auto(S6),23,Turbocharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
FUSION FWD,86,1.5,4,6,Auto(S6),27,Turbocharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
FUSION FWD,89,2,4,6,Auto(S6),25,Turbocharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
FUSION FWD,90,2.5,4,6,Auto(A6),24,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
FUSION HYBRID FWD,91,2,4,1,Auto(AV),42,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
FUSION HYBRID TAXI,92,2,4,1,Auto(AV),41,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
ACCORD 2.0T SPORT/TOURING,38,2,4,10,Auto(S10),26,Turbocharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CIVIC 4Dr,30,1.5,4,1,Auto(AV),36,Turbocharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CIVIC 4Dr,29,1.5,4,7,Auto(AV-S7),33,Turbocharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CIVIC 4Dr,27,1.5,4,6,Manual(M6),30,Turbocharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
CIVIC 4Dr,42,2,4,1,Auto(AV),33,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
CIVIC 4Dr,41,2,4,7,Auto(AV-S7),32,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
CIVIC 4Dr,40,2,4,6,Manual(M6),29,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
INSIGHT,20,1.5,4,1,Auto(AV),52,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
INSIGHT TOURING,21,1.5,4,1,Auto(AV),48,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Elantra,23,1.4,4,7,Auto(AM7),36,Turbocharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Elantra,33,1.6,4,7,Auto(AM7),29,Turbocharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Elantra,12,2,4,1,Auto(AV),34,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Elantra SE,13,2,4,1,Auto(AV),35,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Venue,45,1.6,4,1,Auto(AV),32,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Venue,46,1.6,4,6,Manual(M6),30,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Q50,131,3,6,7,Auto(S7),23,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Q50 AWD,132,3,6,7,Auto(S7),22,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Q50 AWD RED SPORT,135,3,6,7,Auto(S7),22,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
Q50 RED SPORT,133,3,6,7,Auto(S7),22,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
XF,260,2,4,8,Auto(S8),28,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
XF 30t,261,2,4,8,Auto(S8),26,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
XF AWD,264,2,4,8,Auto(S8),27,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
XF AWD,263,3,6,8,Auto(S8),23,Supercharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
XF AWD 30t,267,2,4,8,Auto(S8),25,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Forte,20,1.6,4,7,Auto(AM7),30,Turbocharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Forte,21,1.6,4,6,Manual(M6),28,Turbocharged,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Forte,23,2,4,1,Auto(AV),33,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Forte,24,2,4,6,Manual(M6),31,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Forte FE,22,2,4,1,Auto(AV),35,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Optima Hybrid,14,2,4,6,Auto(AM6),42,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Stinger AWD,31,2,4,8,Auto(S8),24,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Stinger AWD,33,3.3,6,8,Auto(S8),20,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Stinger RWD,32,2,4,8,Auto(S8),25,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Stinger RWD,34,3.3,6,8,Auto(S8),20,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
ES 300h,97,2.5,4,6,Auto(AV-S6),44,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
ES 350,95,3.5,6,8,Auto(S8),26,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
ES 350 F SPORT,96,3.5,6,8,Auto(S8),25,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
GS 350,40,3.5,6,8,Auto(S8),23,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
GS 350 AWD,41,3.5,6,6,Auto(S6),21,Naturally Aspirated,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
GS 350 F SPORT,47,3.5,6,8,Auto(S8),22,Naturally Aspirated,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
LS 500,92,3.4,6,10,Auto(S10),23,Turbocharged,Y,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
LS 500 AWD,93,3.4,6,10,Auto(S10),21,Turbocharged,Y,All Wheel Drive,15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
LS 500h,82,3.5,6,10,Auto(AV-S10),28,Naturally Aspirated,N,"2-Wheel Drive, Rear",15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
LS 500h AWD,83,3.5,6,10,Auto(AV-S10),26,Naturally Aspirated,N,All Wheel Drive,15,Premium Unleaded Required,2,2,2,Spark Ignition direct & ported injection
UX 200,89,2,4,10,Auto(AV-S10),33,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
MKZ AWD,81,2,4,6,Auto(S6),23,Turbocharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MKZ AWD,83,3,6,6,Auto(S6),20,Turbocharged,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MKZ FWD,82,2,4,6,Auto(S6),24,Turbocharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MKZ FWD,84,3,6,6,Auto(S6),21,Turbocharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MKZ HYBRID FWD,85,2,4,1,Auto(AV),41,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
GHIBLI,36,3,6,8,Auto(A8),19,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
GHIBLI S,38,3,6,8,Auto(A8),19,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
GHIBLI S Q4,35,3,6,8,Auto(A8),19,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
MAZDA3 5-Door 2WD,309,2.5,4,6,Auto(S6),30,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MAZDA3 5-Door 2WD,308,2.5,4,6,Manual(M6),29,Naturally Aspirated,N,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MAZDA3 5-Door 4WD,310,2.5,4,6,Auto(S6),27,Naturally Aspirated,Y,4-Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MAZDA6,603,2.5,4,6,Auto(S6),29,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
MAZDA6,604,2.5,4,6,Auto(S6),26,Turbocharged,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
AMG E 53 4MATIC+,317,3,6,9,Auto(A9),24,Other,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
AMG E 63 S 4MATIC+,360,4,8,9,Auto(A9),18,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
E 350,301,2,4,9,Auto(A9),26,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
E 350 4MATIC,306,2,4,9,Auto(A9),25,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
E 450 4MATIC,302,3,6,9,Auto(A9),23,Turbocharged,Y,4-Wheel Drive,10,Premium Unleaded Required,2,2,2,Spark Ignition Direct Injection
COOPER COUNTRYMAN,38,1.5,3,7,Auto(AM-S7),29,Turbocharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
COOPER COUNTRYMAN ALL4,48,1.5,3,8,Auto(S8),27,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
COOPER S CLUBMAN,50,2,4,7,Auto(AM-S7),29,Turbocharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
COOPER S CLUBMAN ALL4,70,2,4,8,Auto(S8),26,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
COOPER S COUNTRYMAN,60,2,4,7,Auto(AM-S7),28,Turbocharged,N,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
COOPER S COUNTRYMAN ALL4,62,2,4,8,Auto(S8),26,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
JCW COUNTRYMAN ALL4,86,2,4,8,Auto(S8),26,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
JOHN COOPER WORKS CLUBMAN ALL4,80,2,4,8,Auto(S8),26,Turbocharged,Y,All Wheel Drive,10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
ALTIMA,211,2.5,4,1,Auto(AV),32,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
ALTIMA AWD,213,2.5,4,1,Auto(AV),30,Naturally Aspirated,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
ALTIMA AWD SR/PLATINUM,214,2.5,4,1,Auto(AV),29,Naturally Aspirated,Y,All Wheel Drive,15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
ALTIMA SR/PLATINUM,221,2,4,1,Auto(AV),29,Turbocharged,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
ALTIMA SR/PLATINUM,212,2.5,4,1,Auto(AV),31,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Kicks,106,1.6,4,1,Auto(AV),33,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
MAXIMA,45,3.5,6,7,Auto(AV-S7),24,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Premium Unleaded Recommended,2,2,2,Multipoint/sequential fuel injection
Sentra,205,2,4,1,Auto(AV),33,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Sentra SR,206,2,4,1,Auto(AV),32,Naturally Aspirated,Y,"2-Wheel Drive, Front",10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
Wraith,7,6.6,12,8,Auto(S8),14,Turbocharged,Y,"2-Wheel Drive, Rear",10,Premium Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
IMPREZA 4-Door,5,2,4,7,Auto(AV-S7),31,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
IMPREZA 4-Door,3,2,4,5,Manual(M5),26,Naturally Aspirated,N,All Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
IMPREZA 4-Door SPORT,30,2,4,7,Auto(AV-S7),30,Naturally Aspirated,Y,All Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
IMPREZA 4-Door SPORT,29,2,4,5,Manual(M5),26,Naturally Aspirated,N,All Wheel Drive,10,Regular Unleaded Recommended,2,2,2,Spark Ignition Direct Injection
AVALON,46,3.5,6,8,Auto(S8),25,Naturally Aspirated,Y,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
AVALON HYBRID,68,2.5,4,6,Auto(AV-S6),43,Naturally Aspirated,N,"2-Wheel Drive, Front",15,Regular Unleaded Recommended,2,2,2,Spark Ignition direct & ported injection
