Name,Club,Age,League,Height,Body Type,Market Value (EUR),FIFA Strength Score,Game effort
R. Rosales,Málaga CF,28,Spanish Primera Division,175,Normal,7000000,77,High
Marcos Llorente,Real Madrid CF,22,Spanish Primera Division,180,Lean,12000000,77,Medium
Pedro Obiang,West Ham United,25,English Premier League,185,Lean,10000000,77,Medium
A. Boruc,Bournemouth,37,English Premier League,193,Normal,600000,77,Medium
D. Rolán,Málaga CF,24,Spanish Primera Division,178,Lean,11500000,77,High
Cristian Tello,Real Betis Balompié,25,Spanish Primera Division,178,Lean,10500000,77,Medium
S. Haller,Eintracht Frankfurt,23,German Bundesliga,190,Stocky,12000000,77,Medium
F. Sørensen,1. FC Köln,25,German Bundesliga,194,Lean,9500000,77,Medium
L. Britton,Swansea City,34,English Premier League,167,Lean,2700000,77,Low
V. Grifo,Borussia Mönchengladbach,24,German Bundesliga,180,Normal,11500000,77,Medium
Sandro,Everton,21,English Premier League,175,Normal,13500000,77,High
F. Delph,Manchester City,27,English Premier League,174,Lean,10000000,77,High
A. Dragovic,Leicester City,26,English Premier League,184,Normal,9000000,77,Medium
D. Pröpper,Brighton & Hove Albion,25,English Premier League,185,Lean,11000000,77,Medium
J. Pickford,Everton,23,English Premier League,185,Normal,10000000,77,Medium
Luisinho,RC Deportivo de La Coruña,32,Spanish Primera Division,171,Lean,4900000,77,High
Z. Feddal,Real Betis Balompié,27,Spanish Primera Division,191,Lean,8500000,77,Medium
Vallejo,Real Madrid CF,20,Spanish Primera Division,183,Lean,11500000,77,Low
David García,UD Las Palmas,35,Spanish Primera Division,184,Normal,2100000,77,Medium
J. Allen,Stoke City,27,English Premier League,168,Lean,10000000,77,Medium
L. Hernández,Atlético Madrid,21,Spanish Primera Division,183,Normal,13500000,77,Medium
A. Mooy,Huddersfield Town,26,English Premier League,174,Normal,10500000,77,Medium
Campaña,Levante UD,24,Spanish Primera Division,179,Normal,10000000,77,Medium
Wendell,Bayer 04 Leverkusen,23,German Bundesliga,176,Lean,9500000,77,High
R. Weidenfeller,Borussia Dortmund,36,German Bundesliga,190,Normal,1200000,77,Medium
J. Hofmann,Borussia Mönchengladbach,24,German Bundesliga,176,Lean,11500000,77,Medium
H. Arter,Bournemouth,27,English Premier League,176,Normal,10000000,77,High
M. Lemos,UD Las Palmas,21,Spanish Primera Division,187,Normal,10500000,77,High
Pablo Fornals,Villarreal CF,21,Spanish Primera Division,178,Normal,14000000,77,Medium
Sergi Gómez,RC Celta de Vigo,25,Spanish Primera Division,185,Normal,10500000,77,High
A. Nyom,West Bromwich Albion,29,English Premier League,188,Normal,6500000,77,Medium
F. Roncaglia,RC Celta de Vigo,30,Spanish Primera Division,179,Normal,6500000,77,Medium
J. De Guzmán,Eintracht Frankfurt,29,German Bundesliga,175,Normal,8500000,77,High
M. Debuchy,Arsenal,31,English Premier League,177,Normal,6000000,77,High
S. Terodde,VfB Stuttgart,29,German Bundesliga,192,Normal,9000000,77,Medium
Recio,Málaga CF,26,Spanish Primera Division,183,Normal,9500000,77,Medium
J. Morrison,West Bromwich Albion,31,English Premier League,178,Lean,8000000,77,Medium
J. Campbell,Real Betis Balompié,25,Spanish Primera Division,178,Normal,11000000,77,High
C. Stuani,Girona CF,30,Spanish Primera Division,184,Normal,8500000,77,Medium
J. Willems,Eintracht Frankfurt,23,German Bundesliga,170,Stocky,9500000,77,High
A. Lennon,Everton,30,English Premier League,165,Normal,8500000,77,High
F. Forster,Southampton,29,English Premier League,201,Normal,7000000,77,Medium
S. Okaka,Watford,27,English Premier League,186,Stocky,9500000,77,High
W. Morgan,Leicester City,33,English Premier League,186,Stocky,3600000,77,Medium
C. Kouyaté,West Ham United,27,English Premier League,189,Lean,8500000,77,High
Álvaro,Villarreal CF,27,Spanish Primera Division,183,Lean,8500000,77,Medium
Charles,SD Eibar,33,Spanish Primera Division,177,Normal,5500000,77,High
M. Hinteregger,FC Augsburg,24,German Bundesliga,185,Stocky,10000000,77,High
W. Hoedt,Southampton,23,English Premier League,188,Normal,10500000,77,Medium
A. Januzaj,Real Sociedad,22,Spanish Primera Division,182,Lean,12500000,77,Medium
M. Diouf,Stoke City,29,English Premier League,185,Normal,9000000,77,Medium
B. Oczipka,FC Schalke 04,28,German Bundesliga,185,Normal,7000000,77,High
S. Bell,1. FSV Mainz 05,25,German Bundesliga,192,Normal,9500000,77,Medium
A. Baba,Chelsea,22,English Premier League,179,Lean,10000000,77,High
S. Davis,Southampton,32,English Premier League,173,Normal,6500000,77,High
H. Saivet,Newcastle United,26,English Premier League,175,Normal,11000000,77,High
J. Gouweleeuw,FC Augsburg,25,German Bundesliga,187,Normal,9000000,77,High
Sergio,RC Celta de Vigo,30,Spanish Primera Division,179,Normal,5500000,77,Medium
M. Höger,1. FC Köln,27,German Bundesliga,182,Normal,9000000,77,Medium
S. Dann,Crystal Palace,30,English Premier League,188,Normal,6500000,77,Low
D. Latza,1. FSV Mainz 05,27,German Bundesliga,179,Normal,10000000,77,High
O. Ndidi,Leicester City,20,English Premier League,183,Lean,12000000,77,Medium
J. Shelvey,Newcastle United,25,English Premier League,184,Normal,11500000,77,Low
L. Fer,Swansea City,27,English Premier League,188,Normal,10000000,77,Medium
R. Funes Mori,Everton,26,English Premier League,186,Normal,9500000,77,Medium
S. Cook,Bournemouth,26,English Premier League,185,Normal,9000000,77,Medium
L. Holtby,Hamburger SV,26,German Bundesliga,176,Lean,10500000,77,Medium
D. Janmaat,Watford,27,English Premier League,185,Normal,7500000,77,High
A. Schöpf,FC Schalke 04,23,German Bundesliga,178,Lean,12000000,77,High
H. Maguire,Leicester City,24,English Premier League,194,Stocky,10500000,77,High
G. Escalante,SD Eibar,24,Spanish Primera Division,182,Normal,10500000,77,Medium
S. Long,Southampton,30,English Premier League,178,Normal,7500000,76,High
S. Berahino,Stoke City,23,English Premier League,180,Normal,10500000,76,Medium
Agirretxe,Real Sociedad,30,Spanish Primera Division,187,Normal,7500000,76,Medium
M. Harnik,Hannover 96,30,German Bundesliga,186,Normal,7500000,76,High
Aarón Martín,RCD Espanyol,20,Spanish Primera Division,180,Normal,9500000,76,High
Alcalá,Girona CF,28,Spanish Primera Division,196,Normal,6000000,76,Medium
L. Bailey,Bayer 04 Leverkusen,19,German Bundesliga,180,Normal,12000000,76,High
M. Lehmann,1. FC Köln,34,German Bundesliga,179,Normal,2300000,76,Medium
J. Korb,Hannover 96,25,German Bundesliga,177,Lean,7500000,76,High
D. Ings,Liverpool,24,English Premier League,178,Lean,10000000,76,High
L. Rupp,TSG 1899 Hoffenheim,26,German Bundesliga,178,Normal,9000000,76,High
T. Strobl,Borussia Mönchengladbach,27,German Bundesliga,188,Normal,7500000,76,Medium
Manquillo,Newcastle United,23,English Premier League,178,Normal,9000000,76,High
N. Petersen,SC Freiburg,28,German Bundesliga,188,Normal,8000000,76,Medium
T. Cleverley,Watford,27,English Premier League,175,Normal,8000000,76,Medium
D. Fletcher,Stoke City,33,English Premier League,183,Lean,4500000,76,Medium
C. Atsu,Newcastle United,25,English Premier League,165,Normal,9500000,76,High
Javi López,RCD Espanyol,31,Spanish Primera Division,180,Normal,5000000,76,Medium
S. Vokes,Burnley,27,English Premier League,188,Normal,9000000,76,High
P. Gulácsi,RB Leipzig,27,German Bundesliga,190,Normal,6000000,76,Medium
E. Capoue,Watford,28,English Premier League,190,Normal,7500000,76,Medium
Jairo,1. FSV Mainz 05,23,German Bundesliga,172,Normal,10500000,76,Medium
P. Groß,Brighton & Hove Albion,26,English Premier League,181,Normal,9500000,76,High
S. Kießling,Bayer 04 Leverkusen,33,German Bundesliga,191,Lean,4800000,76,High
M. Noble,West Ham United,30,English Premier League,180,Normal,5500000,76,High
G. Cameron,Stoke City,31,English Premier League,191,Normal,5000000,76,Medium
C. Fuchs,Leicester City,31,English Premier League,187,Normal,5000000,76,Medium
F. Frei,1. FSV Mainz 05,28,German Bundesliga,183,Normal,7500000,76,Medium
Jesús Gámez,Newcastle United,32,English Premier League,177,Normal,4300000,76,Medium
T. Jantschke,Borussia Mönchengladbach,27,German Bundesliga,177,Normal,7000000,76,Medium
M. Bešic,Everton,24,English Premier League,180,Normal,9000000,76,Medium
Alexis,Deportivo Alavés,31,Spanish Primera Division,183,Normal,5000000,76,Medium
N. Moisander,SV Werder Bremen,31,German Bundesliga,183,Normal,5000000,76,High
Gálvez,SD Eibar,28,Spanish Primera Division,188,Lean,7000000,76,Medium
J. Calleri,UD Las Palmas,23,Spanish Primera Division,181,Normal,10500000,76,High
J. Rodriguez,West Bromwich Albion,27,English Premier League,185,Lean,8000000,76,High
A. Ekdal,Hamburger SV,27,German Bundesliga,186,Normal,8000000,76,High
P. Diop,RCD Espanyol,31,Spanish Primera Division,179,Normal,5000000,76,Medium
T. Chandler,Eintracht Frankfurt,27,German Bundesliga,186,Normal,7000000,76,High
T. Fosu-Mensah,Crystal Palace,19,English Premier League,190,Normal,12000000,76,Medium
Guilherme,RC Deportivo de La Coruña,26,Spanish Primera Division,179,Normal,7500000,76,High
G. Mercado,Sevilla FC,30,Spanish Primera Division,180,Stocky,5500000,76,Medium
C. Clark,Newcastle United,27,English Premier League,185,Normal,7500000,76,Medium
Michel Macedo,UD Las Palmas,27,Spanish Primera Division,176,Lean,7000000,76,High
J. Collins,West Ham United,33,English Premier League,188,Normal,3100000,76,Medium
A. Mehmedi,Bayer 04 Leverkusen,26,German Bundesliga,183,Normal,9000000,76,Medium
C. Pantilimon,RC Deportivo de La Coruña,30,Spanish Primera Division,203,Lean,4900000,76,Medium
Renato Sanches,Swansea City,19,English Premier League,176,Normal,12000000,76,High
S. Mounié,Huddersfield Town,22,English Premier League,190,Normal,11000000,76,High
D. Brosinski,1. FSV Mainz 05,28,German Bundesliga,178,Lean,6000000,76,High
Roger,Levante UD,26,Spanish Primera Division,179,Normal,9500000,76,High
Andrés Fernández,Villarreal CF,30,Spanish Primera Division,184,Normal,4900000,76,Medium
T. Jedvaj,Bayer 04 Leverkusen,21,German Bundesliga,184,Normal,10000000,76,Medium
Bóveda,Athletic Club de Bilbao,28,Spanish Primera Division,180,Lean,6000000,76,High
F. Lustenberger,Hertha BSC Berlin,29,German Bundesliga,180,Lean,6000000,76,Medium
J. Ayew,Swansea City,25,English Premier League,182,Normal,9500000,76,Medium
Riesgo,SD Eibar,33,Spanish Primera Division,185,Lean,3900000,76,Medium
Herrerín,Athletic Club de Bilbao,29,Spanish Primera Division,187,Normal,5000000,76,Medium
J. Blaszczykowski,VfL Wolfsburg,31,German Bundesliga,176,Normal,7000000,76,High
E. Bicakcic,TSG 1899 Hoffenheim,27,German Bundesliga,185,Normal,7500000,76,Medium
A. Knockaert,Brighton & Hove Albion,25,English Premier League,172,Normal,9500000,76,High
P. Pekarík,Hertha BSC Berlin,30,German Bundesliga,176,Lean,5500000,76,Medium
Koo Ja Cheol,FC Augsburg,28,German Bundesliga,183,Lean,8000000,76,Medium
M. Schmiedebach,Hannover 96,28,German Bundesliga,171,Normal,6000000,76,High
L. Öztunali,1. FSV Mainz 05,21,German Bundesliga,184,Normal,11500000,76,Medium
M. Jojic,1. FC Köln,25,German Bundesliga,177,Normal,9500000,76,Medium
Santi Mina,Valencia CF,21,Spanish Primera Division,181,Normal,11000000,76,Medium
V. Stocker,Hertha BSC Berlin,28,German Bundesliga,179,Normal,8000000,76,Medium
J. Añor,Málaga CF,23,Spanish Primera Division,175,Lean,12500000,76,Medium
Timor,Girona CF,27,Spanish Primera Division,186,Normal,7500000,76,Medium
B. Embolo,FC Schalke 04,20,German Bundesliga,185,Normal,14000000,76,Medium
A. Hahn,Hamburger SV,26,German Bundesliga,185,Normal,9000000,76,Medium
M. Stendera,Eintracht Frankfurt,21,German Bundesliga,173,Normal,12000000,76,Medium
B. Espinosa,Girona CF,27,Spanish Primera Division,192,Normal,7500000,76,Medium
R. Brady,Burnley,25,English Premier League,175,Normal,9500000,76,High
L. Markovic,Liverpool,23,English Premier League,175,Lean,10000000,76,Medium
Carlos Soler,Valencia CF,20,Spanish Primera Division,180,Normal,12000000,76,Medium
Serantes,CD Leganés,27,Spanish Primera Division,183,Lean,6000000,76,Medium
Carlos Mané,VfB Stuttgart,23,German Bundesliga,173,Lean,10500000,76,Medium
Aritz Elustondo,Real Sociedad,23,Spanish Primera Division,180,Normal,9500000,76,Medium
O. Romero,Deportivo Alavés,24,Spanish Primera Division,176,Normal,10000000,76,Medium
Laguardia,Deportivo Alavés,27,Spanish Primera Division,185,Normal,7500000,76,Medium
Y. Poulsen,RB Leipzig,23,German Bundesliga,193,Lean,11000000,76,High
A. Cresswell,West Ham United,27,English Premier League,170,Lean,7000000,76,High
Camarasa,Real Betis Balompié,23,Spanish Primera Division,183,Normal,11500000,76,High
Aythami Artiles,UD Las Palmas,31,Spanish Primera Division,184,Normal,5000000,76,High
Adrián González,Málaga CF,29,Spanish Primera Division,183,Normal,7500000,76,High
M. Mavraj,Hamburger SV,31,German Bundesliga,189,Normal,5000000,76,Medium
A. Hunt,Hamburger SV,30,German Bundesliga,183,Lean,7500000,76,Medium
F. Niederlechner,SC Freiburg,26,German Bundesliga,186,Normal,9000000,76,High
J. Tarkowski,Burnley,24,English Premier League,191,Normal,8500000,76,Medium
C. Musonda,Chelsea,20,English Premier League,173,Lean,12500000,76,Medium
S. Francis,Bournemouth,32,English Premier League,183,Normal,4400000,76,High
M. Lowton,Burnley,28,English Premier League,180,Normal,6000000,76,High
C. Mbemba,Newcastle United,22,English Premier League,182,Normal,9000000,76,High
F. Cartabia,RC Deportivo de La Coruña,24,Spanish Primera Division,169,Lean,10500000,76,High
L. Milivojevic,Crystal Palace,26,English Premier League,186,Normal,8500000,76,Medium
B. Henrichs,Bayer 04 Leverkusen,20,German Bundesliga,183,Normal,11000000,76,High
Gelson Fernandes,Eintracht Frankfurt,30,German Bundesliga,179,Lean,5500000,76,Medium
Omar Mascarell,Eintracht Frankfurt,24,German Bundesliga,181,Lean,8500000,76,Medium
E. Insúa,VfB Stuttgart,28,German Bundesliga,180,Stocky,6000000,76,High
T. Kraft,Hertha BSC Berlin,28,German Bundesliga,187,Normal,5500000,76,Medium
Lekue,Athletic Club de Bilbao,24,Spanish Primera Division,180,Lean,9000000,76,High
D. Kohr,Bayer 04 Leverkusen,23,German Bundesliga,183,Normal,8500000,76,Medium
Ibai Gómez,Deportivo Alavés,27,Spanish Primera Division,177,Normal,8000000,76,High
Y. Ravet,SC Freiburg,27,German Bundesliga,178,Normal,8000000,76,High
Pere Pons,Girona CF,24,Spanish Primera Division,177,Lean,10500000,76,Medium
Carlos Martínez,Real Sociedad,31,Spanish Primera Division,189,Normal,5000000,76,High
Aleix Vidal,FC Barcelona,27,Spanish Primera Division,177,Lean,6500000,76,High
Alberto Moreno,Liverpool,24,English Premier League,171,Normal,8000000,76,High
Diego Rico,CD Leganés,24,Spanish Primera Division,183,Normal,8500000,76,Medium
Marc Muniesa,Girona CF,25,Spanish Primera Division,179,Lean,9000000,76,Medium
Arribas,RC Deportivo de La Coruña,28,Spanish Primera Division,182,Normal,6500000,75,Medium
D. Siovas,CD Leganés,28,Spanish Primera Division,192,Normal,5500000,75,Medium
Lombán,SD Eibar,30,Spanish Primera Division,186,Normal,4900000,75,Medium
Iván Cuéllar,CD Leganés,33,Spanish Primera Division,187,Normal,3400000,75,Medium
J. Lössl,Huddersfield Town,28,English Premier League,195,Normal,5500000,75,Medium
A. Masuaku,West Ham United,23,English Premier League,179,Lean,7500000,75,High
Fran Rico,SD Eibar,29,Spanish Primera Division,178,Normal,5000000,75,Medium
Caiuby,FC Augsburg,28,German Bundesliga,184,Normal,6500000,75,Medium
Gabriel,CD Leganés,23,Spanish Primera Division,187,Normal,9000000,75,Medium
D. Sakho,West Ham United,27,English Premier League,184,Lean,8000000,75,High
M. Esser,Hannover 96,29,German Bundesliga,198,Normal,4500000,75,Medium
Y. Gerhardt,VfL Wolfsburg,23,German Bundesliga,184,Normal,7500000,75,Medium
R. Bauer,SV Werder Bremen,22,German Bundesliga,183,Normal,7000000,75,Medium
R. Knoche,VfL Wolfsburg,25,German Bundesliga,190,Lean,7000000,75,Medium
L. Balogun,1. FSV Mainz 05,29,German Bundesliga,190,Normal,6000000,75,Medium
N. Aké,Bournemouth,22,English Premier League,180,Lean,9500000,75,Medium
F. Fajr,Getafe CF,28,Spanish Primera Division,179,Normal,6500000,75,Medium
M. Ritchie,Newcastle United,27,English Premier League,172,Normal,7000000,75,Medium
J. Hendrick,Burnley,25,English Premier League,185,Normal,8500000,75,Medium
P. Bargfrede,SV Werder Bremen,28,German Bundesliga,174,Normal,5500000,75,Medium
Eduardo,Chelsea,34,English Premier League,187,Normal,2700000,75,Medium
W. Routledge,Swansea City,32,English Premier League,170,Stocky,5000000,75,High
A. Schwolow,SC Freiburg,25,German Bundesliga,189,Normal,6000000,75,Medium
F. Di Santo,FC Schalke 04,28,German Bundesliga,193,Lean,7000000,75,High
M. Zeegelaar,Watford,26,English Premier League,186,Normal,5500000,75,High
Joselu,Newcastle United,27,English Premier League,192,Lean,8000000,75,Medium
R. Bazoer,VfL Wolfsburg,20,German Bundesliga,184,Normal,10000000,75,Medium
A. Beck,VfB Stuttgart,30,German Bundesliga,180,Normal,4800000,75,High
G. Haraguchi,Hertha BSC Berlin,26,German Bundesliga,177,Lean,8000000,75,Medium
Odriozola,Real Sociedad,21,Spanish Primera Division,175,Lean,9000000,75,High
G. Johnson,Stoke City,32,English Premier League,182,Normal,3700000,75,High
E. Polanski,TSG 1899 Hoffenheim,31,German Bundesliga,183,Normal,4500000,75,Medium
Miguel Torres,Málaga CF,31,Spanish Primera Division,185,Normal,4400000,75,Low
G. Bussmann,1. FSV Mainz 05,26,German Bundesliga,184,Normal,6500000,75,Medium
E. Schelotto,Brighton & Hove Albion,28,English Premier League,187,Lean,5500000,75,High
Insua,FC Schalke 04,23,German Bundesliga,187,Lean,7500000,75,Medium
N. Chalobah,Watford,22,English Premier League,185,Normal,9000000,75,Medium
A. Young,Manchester United,31,English Premier League,175,Lean,4400000,75,Medium
C. Pizarro,1. FC Köln,38,German Bundesliga,184,Normal,2400000,75,Medium
P. van Aanholt,Crystal Palace,26,English Premier League,176,Lean,6500000,75,High
C. Brunt,West Bromwich Albion,32,English Premier League,185,Normal,5000000,75,Medium
A. Musa,Leicester City,24,English Premier League,171,Lean,9000000,75,High
Y. Kaboul,Watford,31,English Premier League,193,Normal,4500000,75,High
N. Bungert,1. FSV Mainz 05,30,German Bundesliga,188,Lean,4900000,75,Low
Burgui,Deportivo Alavés,23,Spanish Primera Division,184,Lean,9000000,75,Medium
Munir,Deportivo Alavés,21,Spanish Primera Division,175,Lean,9500000,75,High
J. Toljan,Borussia Dortmund,22,German Bundesliga,182,Lean,8000000,75,Medium
M. Stekelenburg,Everton,34,English Premier League,197,Lean,2700000,75,Medium
M. Dos Santos,CD Leganés,27,Spanish Primera Division,180,Normal,6500000,75,Medium
D. Gayle,Newcastle United,26,English Premier League,174,Normal,8500000,75,Medium
S. Ilsanker,RB Leipzig,28,German Bundesliga,189,Lean,5500000,75,Medium
L. Narsingh,Swansea City,26,English Premier League,177,Normal,7000000,75,Medium
S. Zuber,TSG 1899 Hoffenheim,25,German Bundesliga,182,Normal,7000000,75,High
M. Barbosa,Villarreal CF,32,Spanish Primera Division,188,Lean,3800000,75,Medium
C. Wilson,Bournemouth,25,English Premier League,180,Normal,8500000,75,High
C. Kabasele,Watford,26,English Premier League,188,Lean,6500000,75,Medium
A. Maxim,1. FSV Mainz 05,26,German Bundesliga,177,Lean,8000000,75,Medium
C. Mathenia,Hamburger SV,25,German Bundesliga,189,Normal,6000000,75,Medium
C. Wood,Burnley,25,English Premier League,191,Normal,8500000,75,Medium
N. Dyer,Swansea City,29,English Premier League,167,Lean,6500000,75,High
F. Schär,RC Deportivo de La Coruña,25,Spanish Primera Division,186,Lean,7000000,75,High
D. Simpson,Leicester City,30,English Premier League,176,Lean,4800000,75,Low
J. Livermore,West Bromwich Albion,27,English Premier League,180,Stocky,7500000,75,Medium
Douglas Santos,Hamburger SV,23,German Bundesliga,175,Lean,7500000,75,High
Ximo Navarro,UD Las Palmas,27,Spanish Primera Division,178,Normal,6500000,75,Medium
E. Pieters,Stoke City,28,English Premier League,183,Normal,5500000,75,Medium
M. Britos,Watford,31,English Premier League,190,Normal,4500000,75,Medium
A. McCarthy,Southampton,27,English Premier League,193,Lean,5500000,75,Medium
Dani Castellano,UD Las Palmas,29,Spanish Primera Division,180,Normal,5000000,75,High
P. Højbjerg,Southampton,21,English Premier League,185,Normal,9000000,75,Medium
S. Jung,VfL Wolfsburg,27,German Bundesliga,179,Normal,6000000,75,High
D. Amartey,Leicester City,22,English Premier League,186,Normal,8000000,75,Medium
R. Özcan,Bayer 04 Leverkusen,33,German Bundesliga,187,Normal,3400000,75,Medium
M. Olsson,Swansea City,29,English Premier League,178,Normal,5000000,75,High
G. Donati,1. FSV Mainz 05,27,German Bundesliga,178,Normal,6000000,75,Medium
Rubén Blanco,RC Celta de Vigo,21,Spanish Primera Division,188,Lean,7500000,75,Medium
Tana,UD Las Palmas,26,Spanish Primera Division,168,Stocky,7000000,75,High
M. Yoshida,Southampton,28,English Premier League,189,Lean,5500000,75,Medium
Samu García,Levante UD,27,Spanish Primera Division,179,Normal,7000000,75,Medium
J. Gbamin,1. FSV Mainz 05,21,German Bundesliga,186,Normal,8500000,75,Medium
A. Mitrovic,Newcastle United,22,English Premier League,187,Normal,9000000,75,Medium
Kiko Femenía,Watford,26,English Premier League,174,Normal,7000000,75,High
C. Chambers,Arsenal,22,English Premier League,183,Normal,9000000,75,Low
C. Daniels,Bournemouth,30,English Premier League,178,Normal,4800000,75,High
Kike García,SD Eibar,27,Spanish Primera Division,186,Normal,8000000,75,Medium
K. Stafylidis,FC Augsburg,23,German Bundesliga,178,Normal,7000000,75,High
Sabin Merino,Athletic Club de Bilbao,25,Spanish Primera Division,186,Normal,8500000,75,Medium
I. Belfodil,SV Werder Bremen,25,German Bundesliga,191,Lean,8500000,75,High
M. Wakaso,Deportivo Alavés,26,Spanish Primera Division,171,Normal,7000000,75,High
Y. Mvogo,RB Leipzig,23,German Bundesliga,190,Normal,7000000,75,Medium
G. Shibasaki,Getafe CF,25,Spanish Primera Division,175,Lean,7500000,75,High
W. Hughes,Watford,22,English Premier League,185,Lean,10000000,75,Medium
K. Iheanacho,Leicester City,20,English Premier League,185,Normal,11500000,75,High
P. Schwegler,Hannover 96,30,German Bundesliga,178,Normal,4900000,75,Medium
B. Wood,Hamburger SV,24,German Bundesliga,180,Stocky,9500000,75,High
Jaume,Valencia CF,26,Spanish Primera Division,185,Normal,6000000,75,Medium
V. Fischer,1. FSV Mainz 05,23,German Bundesliga,182,Normal,9500000,75,High
D. Ginczek,VfB Stuttgart,26,German Bundesliga,190,Stocky,8000000,75,High
J. Gondorf,SV Werder Bremen,29,German Bundesliga,175,Normal,6500000,75,High
M. Jørgensen,Huddersfield Town,27,English Premier League,191,Lean,6500000,75,Medium
J. Walters,Burnley,33,English Premier League,183,Stocky,4200000,75,High
J. McArthur,Crystal Palace,29,English Premier League,178,Normal,6500000,75,High
S. Ward,Burnley,31,English Premier League,184,Normal,4400000,75,High
S. Ulreich,FC Bayern Munich,28,German Bundesliga,192,Lean,4700000,75,Medium
Borja García,Girona CF,26,Spanish Primera Division,176,Normal,8000000,75,High
A. Robertson,Liverpool,23,English Premier League,178,Lean,8000000,75,High
Rubén Pérez,CD Leganés,28,Spanish Primera Division,178,Normal,6000000,75,Medium
D. Maroh,1. FC Köln,30,German Bundesliga,186,Normal,4900000,75,Medium
T. Hernández,Real Madrid CF,19,Spanish Primera Division,184,Normal,9000000,75,Medium
O. Niasse,Everton,27,English Premier League,182,Normal,7000000,75,Medium
Toño García,Levante UD,27,Spanish Primera Division,179,Normal,6000000,75,High
A. Szalai,TSG 1899 Hoffenheim,29,German Bundesliga,193,Normal,6500000,75,Medium
A. Peñaranda,Málaga CF,20,Spanish Primera Division,183,Lean,11000000,75,High
S. Falette,Eintracht Frankfurt,25,German Bundesliga,184,Stocky,7000000,75,Medium
T. Gebre Selassie,SV Werder Bremen,30,German Bundesliga,181,Lean,4800000,75,Medium
M. Mantovani,CD Leganés,32,Spanish Primera Division,185,Lean,3800000,75,High
A. Surman,Bournemouth,30,English Premier League,178,Normal,6000000,75,Medium
Omar Ramos,CD Leganés,29,Spanish Primera Division,175,Lean,6500000,75,Medium
N. El Zhar,CD Leganés,30,Spanish Primera Division,171,Normal,6500000,75,Medium
K. Naughton,Swansea City,28,English Premier League,180,Lean,5500000,75,High
J. Lerma,Levante UD,22,Spanish Primera Division,179,Lean,8500000,75,Medium
M. Halstenberg,RB Leipzig,25,German Bundesliga,187,Normal,7000000,75,High
J. Tomkins,Crystal Palace,28,English Premier League,192,Lean,6000000,75,Medium
L. Dunk,Brighton & Hove Albion,25,English Premier League,192,Normal,7500000,75,High
De la Bella,Real Sociedad,31,Spanish Primera Division,182,Normal,4400000,75,High
Luna,Levante UD,26,Spanish Primera Division,178,Normal,7000000,75,High
S. Salihovic,Hamburger SV,32,German Bundesliga,182,Normal,5000000,75,Medium
C. Dawson,West Bromwich Albion,27,English Premier League,188,Normal,6000000,75,Medium
M. Compper,RB Leipzig,32,German Bundesliga,185,Lean,3800000,75,Medium
Y. Benalouane,Leicester City,30,English Premier League,185,Lean,4900000,75,Medium
A. Aquilani,UD Las Palmas,32,Spanish Primera Division,186,Lean,5000000,75,Medium
Manu García,Deportivo Alavés,31,Spanish Primera Division,182,Normal,4500000,75,Medium
David Juncà,SD Eibar,23,Spanish Primera Division,175,Normal,6500000,74,High
Guerrero,CD Leganés,26,Spanish Primera Division,180,Normal,6500000,74,High
J. Drobný,SV Werder Bremen,37,German Bundesliga,192,Normal,375000,74,Medium
Richarlison,Watford,20,English Premier League,181,Normal,9500000,74,High
G. Maripán,Deportivo Alavés,23,Spanish Primera Division,193,Normal,6000000,74,Low
M. Gregoritsch,FC Augsburg,23,German Bundesliga,193,Normal,7500000,74,High
M. Russ,Eintracht Frankfurt,31,German Bundesliga,190,Normal,3800000,74,Medium
Fernando Navarro,RC Deportivo de La Coruña,35,Spanish Primera Division,177,Normal,1200000,74,Medium
J. Ward,Crystal Palace,27,English Premier League,188,Normal,5000000,74,Medium
A. Barnes,Burnley,27,English Premier League,186,Normal,6000000,74,High
C. Beauvue,CD Leganés,29,Spanish Primera Division,174,Lean,5500000,74,Medium
M. Kempf,SC Freiburg,22,German Bundesliga,186,Normal,6500000,74,Medium
J. Correa,Sevilla FC,22,Spanish Primera Division,188,Lean,8500000,74,Medium
B. Watson,Watford,31,English Premier League,181,Lean,3800000,74,Low
Juankar,Málaga CF,27,Spanish Primera Division,179,Lean,5000000,74,Medium
Ayoze Pérez,Newcastle United,23,English Premier League,178,Lean,8000000,74,High
J. Pavlenka,SV Werder Bremen,25,German Bundesliga,196,Lean,5500000,74,Medium
Rubén Peña,SD Eibar,25,Spanish Primera Division,170,Lean,7000000,74,Medium
Arbilla,SD Eibar,30,Spanish Primera Division,177,Normal,4100000,74,Medium
N. Elvedi,Borussia Mönchengladbach,20,German Bundesliga,188,Normal,8000000,74,Medium
Raúl Fernández,Levante UD,29,Spanish Primera Division,196,Normal,4600000,74,Medium
P. Crouch,Stoke City,36,English Premier League,201,Normal,2000000,74,Medium
D. Suárez,Getafe CF,29,Spanish Primera Division,173,Normal,4300000,74,High
R. Quaison,1. FSV Mainz 05,23,German Bundesliga,183,Normal,7500000,74,Medium
T. Sippel,Borussia Mönchengladbach,29,German Bundesliga,183,Normal,3800000,74,Medium
B. Afobe,Bournemouth,24,English Premier League,183,Normal,7500000,74,High
Carles Planas,Girona CF,26,Spanish Primera Division,173,Normal,5500000,74,Medium
